task,config_type,config_name,present_modalities,n_train,n_test,auroc,auprc,f1,accuracy,ece,mae,interval_radius,coverage
stress_detection,single,eeg,eeg|wearable_phys|cgm,100,40,0.6053333333333333,0.5296147311111037,0.5405405405405406,0.575,0.15631550699472427,,,
stress_detection,single,wearable_phys,eeg|wearable_phys|cgm,100,40,0.9119999999999999,0.8585090835090836,0.7647058823529411,0.8,0.1626861583441496,,,
stress_detection,single,cgm,eeg|wearable_phys|cgm,100,40,0.4586666666666666,0.38855169136973483,0.43243243243243246,0.475,0.23507737070322038,,,
stress_detection,fusion,early,eeg|wearable_phys|cgm,100,40,0.536,0.43314924451766557,0.5128205128205128,0.525,0.13573388159275052,,,
stress_detection,fusion,intermediate,eeg|wearable_phys|cgm,100,40,0.536,0.4082055553964156,0.5454545454545454,0.5,0.13709493800997732,,,
stress_detection,fusion,late_weighted,eeg|wearable_phys|cgm,100,40,0.736,0.5746703024644201,0.6486486486486487,0.675,0.13483253791928287,,,
stress_detection,fusion,attention,eeg|wearable_phys|cgm,100,40,0.5626666666666666,0.40354852095352645,0.5128205128205128,0.525,0.12291968092322351,,,
stress_detection,fusion,cross_modal,eeg|wearable_phys|cgm,100,40,0.6106666666666667,0.5877280927280927,0.5454545454545454,0.375,0.13516053259372707,,,
stress_detection,aggregation,weighted_late,eeg|wearable_phys|cgm,100,40,0.8773333333333333,0.7458667018109743,0.8333333333333334,0.85,0.2672225707521041,,,
stress_detection,aggregation,ensemble_avg,eeg|wearable_phys|cgm,100,40,0.8773333333333333,0.7458667018109743,0.8333333333333334,0.85,0.26722257075210404,,,
stress_detection,aggregation,confidence_weighted,eeg|wearable_phys|cgm,100,40,0.8693333333333333,0.7732428367786425,0.7428571428571429,0.775,0.15830388224841196,,,
glucose,single,eeg,eeg|wearable_phys|cgm,100,40,,,,,,25.09435338973999,53.57392883300781,0.9
glucose,single,wearable_phys,eeg|wearable_phys|cgm,100,40,,,,,,25.60798063278198,50.71263885498047,0.975
glucose,single,cgm,eeg|wearable_phys|cgm,100,40,,,,,,3.3047268867492674,6.040771484375,0.825
glucose,fusion,early,eeg|wearable_phys|cgm,100,40,,,,,,22.99373788833618,46.024658203125,0.875
glucose,fusion,intermediate,eeg|wearable_phys|cgm,100,40,,,,,,22.335249042510988,48.15991973876953,0.9
glucose,fusion,late_weighted,eeg|wearable_phys|cgm,100,40,,,,,,21.9599591255188,52.70158386230469,0.925
glucose,fusion,attention,eeg|wearable_phys|cgm,100,40,,,,,,26.232861232757568,49.13121032714844,0.825
glucose,fusion,cross_modal,eeg|wearable_phys|cgm,100,40,,,,,,23.830573177337648,49.42835998535156,0.9
glucose,aggregation,ensemble_avg,eeg|wearable_phys|cgm,100,40,,,,,,17.380216693878175,34.298492431640625,0.925
