,eeg,wearable_phys,cgm
0,29,11,10
1,8,24,0
2,6,2,24
3,31,11,1
4,19,11,21
5,8,28,10
6,8,16,30
7,4,2,15
8,2,30,19
9,26,9,15
10,0,25,31
11,29,10,29
12,20,1,28
13,8,22,19
14,24,10,10
15,8,29,22
16,19,25,29
17,16,27,10
18,19,10,15
19,5,14,26
20,8,10,4
21,19,25,28
22,19,30,28
23,1,16,9
24,23,14,23
25,24,25,10
26,11,23,26
27,3,29,6
28,19,27,28
29,11,2,10
30,17,2,8
31,19,10,22
32,11,23,28
33,8,7,15
34,8,16,22
35,7,28,31
36,19,2,9
37,19,11,22
38,19,2,15
39,7,14,26
40,14,31,12
41,6,23,1
42,22,19,4
43,19,27,8
44,19,19,29
45,11,25,10
46,0,11,15
47,4,16,22
48,11,19,18
49,19,18,18
50,11,16,4
51,0,24,10
52,19,24,21
53,11,30,9
54,29,25,9
55,17,25,7
56,20,16,28
57,19,2,22
58,8,25,22
59,23,23,15
60,19,26,23
61,8,27,10
62,0,23,2
63,26,16,1
64,0,24,21
65,24,25,4
66,14,18,5
67,4,24,6
68,11,29,23
69,25,18,4
70,0,14,20
71,19,16,29
72,9,11,18
73,3,0,1
74,24,11,22
75,25,27,10
76,29,9,13
77,16,16,29
78,20,19,19
79,4,19,10
80,4,11,23
81,11,11,15
82,22,29,26
83,14,18,26
84,28,31,31
85,2,11,15
86,17,3,10
87,13,29,15
88,11,2,20
89,8,11,10
90,0,11,4
91,11,27,10
92,19,9,7
93,2,19,6
94,4,31,24
95,16,16,10
96,19,29,9
97,21,11,28
98,11,21,15
99,20,31,31
100,16,16,6
101,4,13,4
102,8,25,25
103,20,31,23
104,0,13,26
105,16,2,4
106,8,11,7
107,19,25,12
108,8,10,2
109,8,25,31
110,8,18,19
111,11,31,15
112,9,18,11
113,19,23,13
114,8,11,6
115,10,30,4
116,3,15,6
117,11,11,19
118,27,11,13
119,4,2,26
120,26,18,28
121,8,23,1
122,16,30,11
123,24,30,26
124,28,19,10
125,11,18,24
126,17,11,11
127,8,18,4
128,4,18,19
129,26,11,10
130,11,19,10
131,24,18,10
132,19,18,28
133,21,11,6
134,19,15,18
135,24,23,4
136,17,22,6
137,8,30,21
138,16,18,10
139,0,25,1
